1.07	1.16	0.58	0.22	0.30	0.32	0.37	0.11	0.35
1.10	1.19	0.61	0.22	0.29	0.31	0.37	0.10	0.36
1.06	1.13	0.58	0.21	0.31	0.31	0.36	0.11	0.35
1.14	1.20	0.60	0.23	0.30	0.37	0.42	0.11	0.41
1.08	1.16	0.59	0.22	0.30	0.32	0.37	0.11	0.35
1.06	1.17	0.56	0.22	0.32	0.32	0.38	0.08	0.37
1.09	1.16	0.58	0.22	0.31	0.31	0.37	0.09	0.36
1.04	1.15	0.60	0.22	0.30	0.31	0.37	0.10	0.36
1.18	1.20	0.57	0.22	0.32	0.38	0.43	0.12	0.42
1.08	1.16	0.57	0.21	0.33	0.31	0.37	0.11	0.36
1.07	1.17	0.60	0.22	0.29	0.32	0.37	0.10	0.36
1.10	1.15	0.57	0.22	0.32	0.31	0.38	0.09	0.37
1.06	1.16	0.59	0.22	0.30	0.32	0.37	0.08	0.36
1.15	1.21	0.55	0.22	0.34	0.37	0.42	0.11	0.41
1.16	1.18	0.55	0.23	0.32	0.37	0.42	0.10	0.40
1.07	1.18	0.62	0.22	0.28	0.32	0.37	0.10	0.36
1.18	1.19	0.59	0.23	0.31	0.37	0.42	0.11	0.41
1.14	1.18	0.60	0.22	0.30	0.37	0.41	0.12	0.40
1.07	1.17	0.62	0.21	0.29	0.31	0.37	0.10	0.36
1.05	1.15	0.59	0.22	0.31	0.31	0.37	0.10	0.35
1.08	1.15	0.57	0.22	0.32	0.30	0.36	0.09	0.35
1.13	1.20	0.60	0.22	0.29	0.37	0.42	0.11	0.40
1.08	1.17	0.60	0.22	0.29	0.30	0.37	0.11	0.35
1.02	1.11	0.57	0.22	0.31	0.32	0.36	0.10	0.35
1.05	1.14	0.59	0.22	0.30	0.31	0.37	0.09	0.36
1.13	1.15	0.58	0.22	0.32	0.37	0.41	0.10	0.40
1.10	1.17	0.61	0.22	0.28	0.36	0.40	0.12	0.38
1.13	1.15	0.59	0.25	0.29	0.36	0.41	0.11	0.39
1.16	1.20	0.58	0.23	0.31	0.36	0.42	0.10	0.40
1.09	1.16	0.62	0.23	0.27	0.33	0.38	0.10	0.37
1.07	1.16	0.59	0.23	0.29	0.32	0.37	0.09	0.36
1.11	1.19	0.59	0.23	0.30	0.38	0.42	0.11	0.41
1.02	1.14	0.57	0.24	0.30	0.31	0.36	0.08	0.36
1.12	1.12	0.58	0.22	0.31	0.36	0.40	0.08	0.39
1.05	1.16	0.57	0.22	0.32	0.31	0.37	0.09	0.36
1.16	1.21	0.58	0.23	0.30	0.39	0.43	0.10	0.42
1.16	1.20	0.59	0.23	0.30	0.37	0.42	0.10	0.41
1.10	1.16	0.57	0.23	0.31	0.32	0.38	0.09	0.37
1.01	1.14	0.61	0.23	0.29	0.29	0.35	0.07	0.35
1.11	1.18	0.60	0.25	0.29	0.33	0.39	0.10	0.38
1.10	1.20	0.62	0.24	0.28	0.33	0.39	0.09	0.38
1.10	1.18	0.58	0.23	0.31	0.31	0.38	0.07	0.37
1.16	1.22	0.62	0.23	0.30	0.37	0.43	0.09	0.43
1.11	1.18	0.59	0.24	0.31	0.33	0.39	0.07	0.38
1.20	1.23	0.60	0.24	0.31	0.39	0.45	0.07	0.44
1.12	1.21	0.59	0.23	0.30	0.34	0.40	0.07	0.40
1.15	1.19	0.59	0.25	0.29	0.38	0.42	0.09	0.42
1.15	1.26	0.62	0.24	0.29	0.40	0.45	0.06	0.44
1.15	1.25	0.61	0.23	0.29	0.36	0.41	0.05	0.41
1.25	1.25	0.59	0.27	0.30	0.43	0.47	0.03	0.47
1.20	1.30	0.59	0.22	0.32	0.41	0.47	0.07	0.47
1.18	1.26	0.57	0.30	0.28	0.42	0.45	0.06	0.44
1.15	1.24	0.59	0.27	0.27	0.42	0.46	0.11	0.44
1.13	1.27	0.65	0.25	0.27	0.36	0.42	0.02	0.42
1.37	1.32	0.59	0.28	0.27	0.42	0.49	0.10	0.48
1.22	1.23	0.62	0.29	0.28	0.40	0.44	0.02	0.44
1.18	1.25	0.59	0.28	0.29	0.36	0.42	0.07	0.42
1.34	1.26	0.58	0.28	0.29	0.46	0.49	0.06	0.49
1.34	1.35	0.58	0.27	0.30	0.36	0.46	0.01	0.46
1.34	1.35	0.63	0.29	0.26	0.43	0.49	0.04	0.49
1.42	1.33	0.60	0.26	0.32	0.45	0.53	0.01	0.53
1.33	1.37	0.60	0.28	0.28	0.41	0.49	0.05	0.49
1.33	1.34	0.60	0.30	0.27	0.41	0.48	0.04	0.47
1.42	1.35	0.62	0.28	0.28	0.37	0.48	0.05	0.48
1.40	1.38	0.59	0.29	0.27	0.47	0.52	0.04	0.52
1.44	1.38	0.60	0.29	0.30	0.40	0.50	0.03	0.50
1.49	1.37	0.60	0.30	0.28	0.45	0.54	0.03	0.54
1.52	1.46	0.59	0.30	0.28	0.46	0.56	0.05	0.55
1.47	1.39	0.60	0.30	0.26	0.49	0.55	0.04	0.55
1.64	1.51	0.60	0.31	0.25	0.51	0.59	0.06	0.59
1.61	1.46	0.60	0.29	0.28	0.50	0.59	0.05	0.59
1.63	1.54	0.62	0.29	0.29	0.52	0.63	0.07	0.63
1.50	1.46	0.59	0.30	0.26	0.54	0.60	0.04	0.60
